============ zoos ======================
Abilene Zoological Gardens                                          Abilene, TX
Bowling Green Housing Authority                                                                
Hannibal Housing Authority                                                                
Housing Authority of the City of Olivette                                                                
Wellston Housing Authority                                                                
Kirksville Housing Authority                                                                
Housing Authority of the City of Memphis                                                                
Lancaster Housing Authority                                                                
Rolla Housing Authority                                                                
Housing Authority of the City of Alton                                                                
Vandalia Housing Authority                                                                
Housing Authority of the City of Kirkwood                                                                
Housing Authority of the City of Norwood                                                                
Housing Authority of the City of Sainte Genevieve                                                                
Housing Authority of the City of Ava                                                                
Boone County Public Housing Agency                                                                
Lincoln County Public Housing Agency                                                                
Scotland County Public Hsg Agency                                                                
St. Francois County Public Housing Agency                                                                
Jefferson Franklin Community Action Corporation                                                                
Phelps County Public Housing Agency                                                                
New Madrid Housing Authority                                                                
Cabool Housing Authority                                                                
Ripley County Public Housing Agency                                                                
Howell County Public Housing Agency                                                                
Housing Authority of the City of Pagedale                                                                
Housing Authority of the City of Hillsdale                                                                
Festus Housing Authority                                                                
Hayti Heights Housing Authority                                                                
St Charles County Housing Assistance Program                                                                
                                                                
    Housing Authority of Billings                                       MT                         
    Great Falls Housing Authority                                       MT                         
    Housing Authority of Butte                                          MT                      
    Helena Housing Authority                                            MT                    
    Housing Authority of the City of Anaconda                           MT                                     
    Richland County Housing Authority                                   MT                             
    Housing Authority of Glasgow                                        MT                        
    Whitefish Housing Authority                                         MT                       
    Dawson County Housing Authority                                     MT                           
    Missoula Housing Authority                                          MT                      
    City of Ronan Housing Authority                                     MT                           
                                                            
                                                                
Omaha Housing Authority                                             NE                   
Lincoln Housing Authority                                           NE                     
Hall County Housing Authority                                       NE                         
Kearney Housing Agency                                              NE                  
Ord Housing Authority                                               NE                 
Red Cloud Housing Authority                                         NE                       
Loup City Housing Authority                                         NE                       
Lexington Housing Authority                                         NE                       
Gresham Housing Authority                                           NE                     
Nebraska City Housing Authority                                     NE                           
Humboldt Housing Authority                                          NE                      
Syracuse Housing Authority                                          NE                      
Benkelman Housing Authority                                         NE                       
Stromsburg Housing Authority                                        NE                        
Wymore Housing Authority                                            NE                    
Clay Center Housing Authority                                       NE                         
Grant Housing Authority                                             NE                   
Imperial Housing Authority                                          NE                      
Neligh Housing Authority                                            NE                    
Schuyler Housing Authority                                          NE                      
Alma Housing Authority                                              NE                  
David City Housing Authority                                        NE                        
Burwell Housing Authority                                           NE                     
Clarkson Housing Authority                                          NE                      
Pawnee City Housing Authority                                       NE                         
Stanton Housing Authority                                           NE                     
Fairbury Housing Authority                                          NE                      
Blue Hill Housing Authority                                         NE                       
Verdigre Housing Authority                                          NE                      
Edgar Housing Authority                                             NE                   
Creighton Housing Authority                                         NE                       
Ainsworth Housing Authority                                         NE                       
Deshler Housing Authority                                           NE                     
Newman Grove Housing Authority                                      NE                          
Henderson Housing Authority                                         NE                       
Coleridge Housing Authority                                         NE                       
Albion Housing Authority                                            NE                    
Crete Housing Authority                                             NE                   
Greeley Housing Authority                                           NE                     
Lynch Housing Authority                                             NE                   
Hay Springs Housing Authority                                       NE                         
Wilber Housing Authority                                            NE                    
Hooper Housing Authority                                            NE                    
St. Paul Housing Authority                                          NE                      
Minden Housing Authority                                            NE                    
Sargent Housing Authority                                           NE                     
Shelton Housing Authority                                           NE                     
St. Edward Housing Authority                                        NE                        
Friend Housing Authority                                            NE                    
Fairmont Housing Authority                                          NE                      
Auburn Housing Authority                                            NE                    
Tilden Housing Authority                                            NE                    
Harvard Housing Authority                                           NE                     
Oxford Housing Authority                                            NE                    
Cambridge Housing Authority                                         NE                       
Bassett Housing Authority                                           NE                     
Emerson Housing Authority                                           NE                     
Plattsmouth Housing Authority                                       NE                         
Indianola Housing Authority                                         NE                       
Oshkosh Housing Authority                                           NE                     
Niobrara Housing Authority                                          NE                      
Housing Partners of Western Nebraska                                NE                                
Nelson Housing Authority                                            NE                    
Cozad Housing Authority                                             NE                   
Weeping Water Housing Authority                                     NE                           
Bayard Housing Authority                                            NE                    
Lyons Housing Authority                                             NE                   
Aurora Housing Authority                                            NE                    
Wood River Housing Authority                                        NE                        
Blair Housing Authority                                             NE                   
Genoa Housing Authority                                             NE                   
Falls City Housing Authority                                        NE                        
Sutherland Housing Authority                                        NE                        
Curtis Housing Authority                                            NE                    
Beemer Housing Authority                                            NE                    
Fremont Housing Agency                                              NE                  
Cairo Housing Authority                                             NE                   
Oakland Housing Authority                                           NE                     
Columbus Housing Authority                                          NE                      
Bridgeport Housing Authority                                        NE                        
Gordon Housing Authority                                            NE                    
Wayne Housing Authority                                             NE                   
Ansley Housing Authority                                            NE                    
Beatrice Housing Authority                                          NE                      
Chappell Housing Authority                                          NE                      
Broken Bow Housing Authority                                        NE                        
Gothenburg Housing Authority                                        NE                        
McCook Housing Authority                                            NE                    
North Platte Housing Authority                                      NE                          
North Loup Housing Authority                                        NE                        
Alliance Housing Authority                                          NE                      
Chadron Housing Authority                                           NE                     
Hastings Housing Authority                                          NE                      
Douglas County Housing Authority                                    NE                            
Norfolk Housing Agency                                              NE                  
Bellevue Housing Agency                                             NE                   
South Sioux City Housing Agency                                     NE                           
West Central Nebraska Joint Housing Authority                       NE                                         
Northeast Nebraska Joint Housing Authority                          NE                                      
Goldenrod Regional Housing Agency                                   NE                             
Central Nebraska Jt Housing Authority                               NE                                 
                                                                
Reno Housing Authority                                              NV                  
Southern Nevada Regional Housing Authority                          NV                                      
Nevada Rural Housing Authority                                      NV                          
Clark County CARES Housing Assistance Program                       NV                                         
                                                                
Manchester Housing and Redevelopment Authority                                                                
Nashua Housing Authority                                                                
Dover Housing Authority                                                                
Portsmouth Housing Authority                                                                
Concord Housing and Redevelopment                                                                
Somersworth Housing Authority                                                                
Laconia Housing Authority                                                                
Rochester Housing Authority                                                                
Lebanon Housing Authority                                                                
Keene Housing                                                                
Berlin Housing Authority                                                                
Claremont Housing Authority                                                                
Newmarket Housing Authority                                                                
Exeter Housing Authority                                                                
Lancaster Housing Authority                                                                
Northumberland Housing Authority                                                                
Housing Authority of the Town of Salem                                                                
Derry Housing and Redevelopment Authority                                                                
                                                             
                                                            
                                                                
Newark Housing Authority                                                                
Elizabeth Housing Authority                                                                
North Bergen Housing Authority                                                                
Trenton Housing Authority                                                                
Housing Authority of the City of Perth Amboy                                                                
Asbury Park Housing Authority                                                                
Long Branch Housing Authority                                                                
Jersey City Housing Authority                                                                
Housing Authority of the City of Camden                                                                
Housing Authority of the Borough of Lodi                                                                
Bayonne Housing Authority                                                                
Housing Authority of the City of Passaic                                                                
Atlantic City Housing Authority                                                                
Hoboken Housing Authority                                                                
Harrison Housing Authority                                                                
Summit Housing Authority                                                                
Beverly Housing Authority                                                                
Burlington Housing Authority                                                                
Housing Authority of the City of Paterson                                                                
New Brunswick Housing Authority                                                                
Morristown Housing Authority                                                                
Phillipsburg Housing Authority                                                                
Orange Housing Authority                                                                
Union City Housing Authority                                                                
Princeton Housing Authority                                                                
Hackensack Housing Authority                                                                
West New York Housing Authority                                                                
Rahway Housing Authority                                                                
Woodbridge Housing Authority                                                                
Garfield Housing Authority                                                                
South Amboy Housing Authority                                                                
Guttenberg Housing Authority                                                                
Irvington Township Housing Authority                                                                
Florence Housing Authority                                                                
Housing Authority of Plainfield                                                                
Highlands Housing Authority                                                                
Housing Authority of the Township of Franklin                                                                
Edison Housing Authority                                                                
Highland Park Housing Authority                                                                
Hightstown Housing Authority                                                                
Red Bank Housing Authority                                                                
Carteret Housing Authority                                                                
Neptune Housing Authority                                                                
Bridgeton Housing Authority                                                                
Housing Authority of the City of East Orange                                                                
Glassboro Housing Authority                                                                
Boonton Housing Authority                                                                
Ocean City Housing Authority                                                                
Lakewood Housing Authority                                                                
Englewood Housing Authority                                                                
Berkeley Housing Authority                                                                
Belmar Housing Authority                                                                
Salem Housing Authority                                                                
Keansburg Housing Authority                                                                
Millville Housing Authority                                                                
Cape May Housing Authority                                                                
Vineland Housing Authority                                                                
Haddon Housing Authority                                                                
Housing Authority of the Township of Brick                                                                
Housing Authority City of Linden                                                                
Housing Authority of Bergen County                                                                
Housing Authority Town of Dover                                                                
Freehold Housing Authority                                                                
Cliffside Park Housing Authority                                                                
Borough of Clementon Housing Authority                                                                
Penns Grove Housing Authority                                                                
Edgewater Housing Authority                                                                
Newton Housing Authority                                                                
Weehawken Housing Authority                                                                
Collingswood Housing Authority                                                                
Wildwood Housing Authority                                                                
Middletown Housing Authority                                                                
Secaucus Housing Authority                                                                
Hunterdon County Division of Housing                                                                
Montclair Housing Authority                                                                
Phillipsburg DCD                                                                
City of Clifton Housing Department                                                                
Passaic County Public Housing Agency                                                                
Housing Authority of the City of Paterson                                                                
Morris County Housing Authority                                                                
Somerville Housing Authority                                                                
Housing Authority of the Township of Bloomfield                                                                
Warren County Housing Authority                                                                
Housing Authority of the Borough of Sayreville                                                                
West Orange Public Housing Agency                                                                
Union Township Housing Authority                                                                
Old Bridge Housing Authority                                                                
Manville Housing Authority                                                                
Union County Housing Authority                                                                
Middlesex County Division of Housing and Social Services                                                                
Cherry Hill Housing Authority                                                                
Pennsauken Housing Authority                                                                
Buena Housing Authority                                                                
Housing Authority of Gloucester County                                                                
Hamilton Township Housing Authority                                                                
Lakewood Township Residential Assistance Program                                                                
Burlington County Board of Social Services                                                                
Gloucester City Housing Authority                                                                
Collaborative Support Programs of NJ                                                                
Garden State Episcopal CDC                                                                
                                   
                                                  
                                                                
Albuquerque Housing Authority                                       NM                         
Clovis Housing and Redevelopment Agency                             NM                                   
Mesilla Valley Public Housing Authority                             NM                                   
Housing Authority of the City of Alamogordo                         NM                                       
Housing Authority of the City of Gallup                             NM                                   
Housing Authority of the City of Las Vegas                          NM                                      
Housing Authority of the City of Raton                              NM                                  
Santa Fe Civic Housing Authority                                    NM                            
Truth or Consequences Housing Authority                             NM                                   
Housing Authority of the City of Artesia                            NM                                    
Housing Authority of the Town of Springer                           NM                                     
Housing Authority of the City of Lovington                          NM                                      
Housing Authority of the Town of Bayard                             NM                                   
Housing Authority of the Village of Fort Sumner                     NM                                           
Housing Authority of the Village of Maxwell                         NM                                       
Housing Authority of the City of Eunice                             NM                                   
Santa Clara Housing Authority                                       NM                         
Housing Authority of the City of Grants                             NM                                   
Housing Authority of the Village of Wagon Mound                     NM                                           
Housing Authority of the City of Tucumcari                          NM                                      
Housing Authority of the City of Lordsburg                          NM                                      
Housing Authority of the County of Rio Arriba                       NM                                         
Housing Authority of the Village of Chama                           NM                                     
Housing Authority of the Village of Cimarron                        NM                                        
Housing Authority of the County of San Miguel                       NM                                         
Housing Authority of the County of Santa Fe                         NM                                       
Housing Authority of the Village of Pecos                           NM                                     
Housing Authority of the Town of Clayton                            NM                                    
Bernalillo County Housing Department                                NM                                
Housing Authority of San Miguel County                              NM                                  
Housing Authority of the County of Dona Ana                         NM                                       
Eastern Regional Housing Authority                                  NM                              
Housing Authority of the County of San Juan                         NM                                       
Western Regional Housing Authority                                  NM                              
Housing Authority of the Town of Mountainair                        NM                                        
Housing Authority of the Village of Los Lunas                       NM                                         
Housing Authority of the Village of Cuba                            NM                                    
Housing Authority of the City of Sunland Park                       NM                                         
El Camino Real Housing Authority                                    NM                            
Northern Regional Housing Authority                                 NM                               
                                                                
Syracuse Housing Authority                                                                
Buffalo Municipal Housing Authority                                                                
Utica Municipal Housing Authority                                                                
Albany Housing Authority                                                                
Watertown Housing Authority                                                                
Niagara Falls Housing Authority                                                                
Troy Housing Authority                                                                
Mechanicville Housing Authority                                                                
Binghamton Housing Authority                                                                
Jamestown Housing Authority                                                                
Plattsburgh Housing Authority                                                                
Herkimer Housing Authority                                                                
Saratoga Springs Housing Authority                                                                
Cortland Housing Authority                                                                
Cohoes Housing Authority                                                                
Watervliet Housing Authority                                                                
City of Oswego Office of Community Dev.                                                                
Schenectady Municipal Housing Authority                                                                
Lackawanna Municipal Housing Authority                                                                
Elmira Housing Authority                                                                
Massena Housing Authority                                                                
Catskill Housing Authority                                                                
Rensselaer Housing Authority                                                                
Rome Housing Authority                                                                
Ogdensburg Housing Authority                                                                
Rochester Housing Authority                                                                
Geneva Housing Authority                                                                
Gloversville Housing Authority                                                                
Batavia Housing Authority                                                                
Ithaca Housing Authority                                                                
Wilna Housing Authority                                                                
Ilion Housing Authority                                                                
Amsterdam Housing Authority                                                                
Hudson Housing Authority                                                                
Dunkirk Housing Authority                                                                
Norwich Housing Authority                                                                
Auburn Housing Authority                                                                
Hornell Housing Authority                                                                
Oneonta Housing Authority                                                                
Lockport Housing Authority                                                                
Whitehall Housing Authority                                                                
Glens Falls Housing Authority                                                                
Malone Housing Authority                                                                
Tupper Lake Housing Authority                                                                
Harrietstown Housing Authority                                                                
Newark Housing Authority                                                                
Town of Amherst                                                                
Olean Housing Authority                                                                
Canton Housing Authority                                                                
St. Johnsville Housing Authority                                                                
Oneida Housing Authority                                                                
Village of North Syracuse Housing Authority                                                                
Little Falls Housing Authority                                                                
Kenmore Municipal Housing Authority                                                                
Village of Elmira Heights                                                                
City of Salamanca                                                                
City of Niagara Falls                                                                
Fairport Urban Renewal Agency                                                                
Town of Colonie Community Development                                                                
Village of Canajoharie                                                                
West Carthage Housing Authority                                                                
Town of Clifton Park                                                                
Dolgeville Housing Authority                                                                
Town of Hadley                                                                
Town of Guilderland                                                                
Town of Bethlehem                                                                
Town of Duanesburg                                                                
Town of Niskayuna                                                                
Town of Schodack                                                                
Village of Horseheads                                                                
City of Johnstown                                                                
City of Utica                                                                
Town of Knox                                                                
Buffalo Municipal Housing Authority                                                                
Town of Hoosick Housing Authority                                                                
Town of Waterford                                                                
City of Fulton                                                                
Village of Scotia                                                                
Town of Glenville                                                                
Town of Rotterdam                                                                
Town of Corinth                                                                
Canastota Housing Authority                                                                
Town of Jay                                                                
Village of Manlius                                                                
Fort Plain Housing Agency                                                                
Village of Cobleskill                                                                
Boonville Housing Authority                                                                
Village of Corinth                                                                
Village of Walton                                                                
Village of New Hartford                                                                
Town of Coeymans                                                                
Town of Stillwater                                                                
Town of Nassau                                                                
Village of Waterford                                                                
Southern Tier Environments for Living                                                                
New York State Housing Finance Agency                                                                
Pleasantville Housing Authority                                                                
Municipal Housing Authority for the City of Yonkers                                                                
New York City Housing Authority                                                                
Tuckahoe Housing Authority (Public Housing)                                                                
Tarrytown Municipal Housing Authority                                                                
Port Chester Housing Authority                                                                
Freeport Housing Authority                                                                
North Tarrytown Housing Authority                                                                
Town of Huntington Housing Authority                                                                
Mount Kisco Housing Authority                                                                
White Plains Housing Authority                                                                
Kingston Housing Authority                                                                
Town of Hempstead Housing Authority                                                                
The City of Beacon Housing Authority                                                                
Housing Authority of Long Beach                                                                
Newburgh Housing Authority                                                                
Town of Oyster Bay Housing Authority                                                                
Village of Spring Valley Housing Authority                                                                
Greenburgh Housing Authority                                                                
Poughkeepsie Housing Authority                                                                
Woodridge Housing Authority                                                                
Glen Cove Public Housing Authority                                                                
Monticello Housing Authority                                                                
Town of Islip Housing Authority                                                                
Peekskill Housing Authority                                                                
Town of Ramapo Housing Authority                                                                
Village of Hempstead HA                                                                
North Hempstead Housing Authority                                                                
New Rochelle Municipal Housing Authority                                                                
Village of Ossining Section 8 Program                                                                
Port Jervis Housing Authority                                                                
Rockville Centre HA                                                                
Village of Mamaroneck HA                                                                
Ellenville Housing Authority                                                                
New York City Department of Housing Preservation and Development                                                                
The City of New Rochelle PHA                                                                
Village of Nyack Housing Authority                                                                
City of White Plains Comm Dev Prog                                                                
Village of Pelham HA                                                                
Town of Mamaroneck Housing Authority                                                                
Village of Port Chester                                                                
Village of Hempstead Housing Authority                                                                
Glen Cove Community Development Agency                                                                
City of Peekskill                                                                
Village of Highland Falls                                                                
Riverhead Housing Development Corproration                                                                
Village of Patchogue Community Development Agency                                                                
Town of Babylon Housing Assistance Agency                                                                
Town of Yorktown Housing Choice Voucher Office                                                                
Port Jervis Community Development Agency                                                                
City of Poughkeepsie Section 8 HCV Office                                                                
Village of New Square PHA                                                                
Kingston Community Development Agency                                                                
Town of Southampton Housing Authority                                                                
Village of Great Neck Housing Authority                                                                
Village of Greenport Housing Authority                                                                
Village of Sea Cliff Housing Authority                                                                
Village of Spring Valley HA                                                                
Town of Brookhaven HCDIA                                                                
Village of Farmingdale HA                                                                
North Fork Housing Alliance                                                                
Town of East Hampton Department of Housing and Community Development                                                                
Town of Smithtown Planning and Community Development Department                                                                
Village of Kiryas Joel HA                                                                
Village of Rockville Centre                                                                
